participant_id,location,session_number,phase,seal_id,seal_name,clicked_at,total_clicks_this_seal,timestamp
PUCPR-1784309552585-5PQNYY,PUCPR,2,ranking,red-2,Certificação Bem-Estar Animal,2026-07-17T17:36:27.983Z,2,2026-07-17T17:38:02.648Z
PUCPR-1784309552585-5PQNYY,PUCPR,2,ranking,red-2,Certificação Bem-Estar Animal,2026-07-17T17:36:29.812Z,2,2026-07-17T17:38:02.648Z
